city_id,city,Cloudiness,Humidity,Latitude,Longitude,Country,Max Temp,Wind Speed
376,petropavlovsk-kamchatskiy,90,100,53.05,158.65,RU,53.6,2.24
377,port hardy,75,87,50.7,-127.42,CA,57.2,10.29
378,codrington,1,92,-38.27,141.97,AU,38.26,7.43
379,itaituba,40,47,-4.28,-55.98,BR,95.0,11.41
380,de-kastri,100,94,51.47,140.78,RU,60.08,7.07
381,sakakah,0,9,29.97,40.21,SA,96.8,11.41
382,rognedino,76,93,53.8,33.56,RU,53.26,5.21
383,san lorenzo,60,58,-25.33,-57.53,PY,84.2,5.55
384,westport,1,60,41.14,-73.36,US,77.0,14.99
385,buraydah,1,19,26.33,43.98,SA,96.8,6.93
386,havre-saint-pierre,1,35,50.23,-63.6,CA,73.4,14.99
387,najran,40,40,17.49,44.13,SA,87.8,16.11
388,novaya igirma,31,81,57.13,103.91,RU,47.82,7.27
389,turayf,0,21,31.67,38.66,SA,89.6,11.41
390,santa cruz,75,52,-17.8,-63.17,BO,87.8,13.87
391,rongcheng,70,92,30.63,117.85,CN,73.85,1.61
392,turkistan,0,25,43.0,68.0,KZ,85.35,13.82
393,longview,1,49,32.5,-94.74,US,95.0,6.93
394,indiaroba,5,76,-11.52,-37.51,BR,71.98,6.78
395,faya,48,49,18.39,42.45,SA,71.6,12.75
396,tucumcari,1,30,35.17,-103.72,US,93.2,13.87
397,sangar,100,52,63.92,127.47,RU,66.51,5.37
398,port moresby,29,90,-9.44,147.18,PG,74.71,11.07
399,punta alta,17,62,-38.88,-62.07,AR,53.53,4.16
400,lakes entrance,48,97,-37.88,147.98,AU,46.99,7.25
401,dahanu,100,90,19.97,72.73,IN,79.52,12.68
402,ust-tsilma,100,67,65.44,52.15,RU,55.02,7.0
403,chegdomyn,100,93,51.12,133.02,RU,66.9,3.09
404,paraiso,20,47,9.84,-83.87,CR,84.2,17.22
405,sept-iles,90,42,50.2,-66.38,CA,68.0,13.87
406,ko samui,100,74,9.54,99.94,TH,83.68,6.11
407,moose factory,75,68,51.26,-80.61,CA,71.6,6.93
408,esperance,90,100,-33.87,121.9,AU,57.2,11.41
409,bulancak,75,88,40.94,38.23,TR,75.2,4.7
